source_sha256,source_page,table_row,verified_block,source_path,stage,tier,source_bbox,bbox_units,review_status,review_method,reviewer
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,1,1,Basanti,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.46, 314.67, 819.68, 336.7]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,1,5,Gosaba,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.7, 398.84, 819.84, 420.85]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,2,1,Canning-II,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[426.62, 84.62, 819.59, 105.43]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,2,6,Kultali,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[426.88, 190.22, 819.69, 211.57]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,2,8,Joynagar-II,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[426.98, 232.24, 819.73, 253.6]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,2,11,Patharpratima,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.13, 295.74, 819.79, 317.12]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,2,15,Kakdwip,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.33, 379.7, 819.88, 401.61]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,2,18,Namkhana,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.48, 443.13, 819.94, 464.57]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,3,1,Sagar,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[426.89, 82.23, 820.0, 103.53]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,3,4,Kulpi,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.01, 144.88, 820.0, 166.67]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,3,8,Mathurapur-I,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.17, 229.53, 820.0, 250.8]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,3,12,Mathurapur-II,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.33, 314.61, 820.0, 335.36]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,3,15,Mandirbazar,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.45, 377.62, 820.0, 398.86]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,3,19,Joynagar-I,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.61, 461.58, 820.0, 482.8]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,4,1,Baruipur,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.03, 83.58, 820.0, 104.64]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,4,7,Canning-I,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.15, 209.65, 820.0, 231.26]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,4,11,Magrahat-II,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.24, 294.65, 820.0, 315.8]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,4,15,Magrahat-I,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.32, 378.62, 820.0, 400.3]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,4,18,Diamond Harbour-II,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[427.38, 442.07, 820.0, 463.27]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,5,1,Diamond Harbour-I,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[426.1, 83.03, 819.67, 104.28]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,5,5,Falta,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[426.21, 167.57, 819.82, 188.83]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,5,9,Bishnupur-II,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[426.33, 252.13, 819.97, 273.89]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,5,14,Budge Budge-II,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[426.47, 357.23, 820.16, 378.5]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,5,18,Thakurpukur Maheshtala,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[426.58, 441.83, 820.31, 463.1]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,5,20,Bishnupur-I,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,final,gp_deputy,"[426.64, 483.88, 820.38, 504.65]","PDF points, top origin",visually_verified_block_header,Independent visual reading of each rectified source header strip; all 36 South 24 Parganas schedule pages inspected; GP data rows excluded.,Codex independent source review 2026-09-07
