row_id,source_sha256,source_page,source_column,table_row,source_bbox,verified_name,verified_category,review_method,review_note,name_ambiguous,candidate_name_readings,evidence_references
05800f8f070adc84fe522be8,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,4,1,"[331.02, 483.16, 439.92, 499.14]",Binnaguri,ST,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
5203847944260e1d12618189,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,5,1,"[439.9, 482.66, 548.65, 498.63]",Binnaguri,women,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
2bef341766a15ed160e76ec8,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,4,2,"[331.03, 498.63, 439.93, 513.12]",,,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
9c9b18a418695ea67b3bd1b3,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,5,2,"[439.92, 498.12, 548.66, 512.6]",Sakoajhora-I,women,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
e58d18cda5bca1337caef67c,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,4,3,"[331.04, 512.6, 439.94, 526.6]",Banarhat-I,SC,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
81d9542b1e8843488cf63507,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,5,3,"[439.93, 512.08, 548.68, 526.08]",,,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
cb8e9f61dcedb9a49aa9753e,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,4,4,"[331.05, 526.08, 439.96, 539.59]",Salbari-II,ST,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
87c3239c867d72b232ef93f9,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,5,4,"[439.94, 525.55, 548.69, 539.05]",Salbari-II,women,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
71c6e886cbca0a5030dc2962,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,4,5,"[331.06, 539.05, 439.97, 553.07]",,,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
5c32de669b8c475321654a63,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,5,5,"[439.96, 538.51, 548.71, 552.53]",Jharaltagram-I,women,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
e2a82bace5c0aec2794fed76,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,4,6,"[331.07, 552.53, 439.98, 566.56]",Jharaltagram-II,SC,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
71e41e1a46c1ad1450aaf09f,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,5,6,"[439.97, 551.98, 548.73, 566.0]",,,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
f0d266980a9695399e8f48b3,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,4,7,"[331.08, 566.0, 439.99, 580.05]",Magurmari-I,SC,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
1deaa2ce65f1384af167af2e,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,5,7,"[439.98, 565.45, 548.74, 579.48]",Magurmari-I,women,visual_reading_of_printed_PDF,Roman suffix typography normalized; blank other axis stays unknown.,False,,[]
