row_id,source_path,source_sha256,source_page,source_table,source_table_row,source_bbox,source_coordinate_system,raw_cells,state,district,year,tier,office,source_gp_serial,source_gp_key,gram_panchayat,local_body_name,block,name_raw,reservation_code_raw,reservation,caste_reservation,woman_reserved,source_list_scope,review_status,quality_flags,visual_review_path,visual_review_sha256,visual_review_method
e3b0b61aa5a1841b72d4,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,0,2,"[84.88685714285714, 133.57999999999998, 466.33564551724135, 150.26]","PDF points, top-left origin","[""1"", ""Dhoradaha-I"", """", null, null, ""SCW"", null, null, """", null, null, """", null, null, """", null, null]",West Bengal,Nadia,2013,gp_head,pradhan,1,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43:1,Dhoradaha-I,Dhoradaha-I,,Dhoradaha-I,SCW,SCW,SC,1,complete_office_synopsis_with_explicit_UR,full_source_visual_review_single_assistant,block_unstated,data/wb/derived/nadia_2013_handbook/full_office_visual_audit.json,9fa81bb5b3696b27f851ec8c0a9871dbcbd2ced62fde42043a8b56bbd2b97d30,single_assistant_nonblinded_source_visual_audit
0edbb1bb469dde5bd93f,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,0,3,"[84.88685714285714, 150.26, 466.33564551724135, 165.8599999999999]","PDF points, top-left origin","[""2"", ""Dhoradaha-II"", """", null, null, """", null, null, """", null, null, ""Women"", null, null, """", null, null]",West Bengal,Nadia,2013,gp_head,pradhan,2,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43:2,Dhoradaha-II,Dhoradaha-II,,Dhoradaha-II,Women,W,UR,1,complete_office_synopsis_with_explicit_UR,full_source_visual_review_single_assistant,block_unstated,data/wb/derived/nadia_2013_handbook/full_office_visual_audit.json,9fa81bb5b3696b27f851ec8c0a9871dbcbd2ced62fde42043a8b56bbd2b97d30,single_assistant_nonblinded_source_visual_audit
e099bac892f58d556cf7,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,0,4,"[84.88685714285714, 165.8599999999999, 466.33564551724135, 181.33999999999992]","PDF points, top-left origin","[""3"", ""Natidanga-I"", """", null, null, """", null, null, ""OBCW"", null, null, """", null, null, """", null, null]",West Bengal,Nadia,2013,gp_head,pradhan,3,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43:3,Natidanga-I,Natidanga-I,,Natidanga-I,OBCW,OBCW,OBC,1,complete_office_synopsis_with_explicit_UR,full_source_visual_review_single_assistant,block_unstated,data/wb/derived/nadia_2013_handbook/full_office_visual_audit.json,9fa81bb5b3696b27f851ec8c0a9871dbcbd2ced62fde42043a8b56bbd2b97d30,single_assistant_nonblinded_source_visual_audit
fa9fc375fc29c241ae13,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,0,5,"[84.88685714285714, 181.33999999999992, 466.33564551724135, 196.81999999999994]","PDF points, top-left origin","[""4"", ""Natidanga-II"", """", null, null, """", null, null, """", null, null, """", null, null, ""UR"", null, null]",West Bengal,Nadia,2013,gp_head,pradhan,4,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43:4,Natidanga-II,Natidanga-II,,Natidanga-II,UR,UR,UR,0,complete_office_synopsis_with_explicit_UR,full_source_visual_review_single_assistant,block_unstated,data/wb/derived/nadia_2013_handbook/full_office_visual_audit.json,9fa81bb5b3696b27f851ec8c0a9871dbcbd2ced62fde42043a8b56bbd2b97d30,single_assistant_nonblinded_source_visual_audit
fc60622198554353d450,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,0,6,"[84.88685714285714, 196.81999999999994, 466.33564551724135, 212.299995]","PDF points, top-left origin","[""5"", ""Rahamatpur"", """", null, null, ""SCW"", null, null, """", null, null, """", null, null, """", null, null]",West Bengal,Nadia,2013,gp_head,pradhan,5,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43:5,Rahamatpur,Rahamatpur,,Rahamatpur,SCW,SCW,SC,1,complete_office_synopsis_with_explicit_UR,full_source_visual_review_single_assistant,block_unstated,data/wb/derived/nadia_2013_handbook/full_office_visual_audit.json,9fa81bb5b3696b27f851ec8c0a9871dbcbd2ced62fde42043a8b56bbd2b97d30,single_assistant_nonblinded_source_visual_audit
d4bab1fa9a140482fd11,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,0,7,"[84.88685714285714, 212.299995, 466.33564551724135, 227.77999999999997]","PDF points, top-left origin","[""6"", ""Karimpur-I"", """", null, null, """", null, null, """", null, null, ""Women"", null, null, """", null, null]",West Bengal,Nadia,2013,gp_head,pradhan,6,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43:6,Karimpur-I,Karimpur-I,,Karimpur-I,Women,W,UR,1,complete_office_synopsis_with_explicit_UR,full_source_visual_review_single_assistant,block_unstated,data/wb/derived/nadia_2013_handbook/full_office_visual_audit.json,9fa81bb5b3696b27f851ec8c0a9871dbcbd2ced62fde42043a8b56bbd2b97d30,single_assistant_nonblinded_source_visual_audit
b1e775e8668a1c0af766,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,0,8,"[84.88685714285714, 227.77999999999997, 466.33564551724135, 243.26]","PDF points, top-left origin","[""7"", ""Karimpur-II"", """", null, null, ""SCW"", null, null, """", null, null, """", null, null, """", null, null]",West Bengal,Nadia,2013,gp_head,pradhan,7,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43:7,Karimpur-II,Karimpur-II,,Karimpur-II,SCW,SCW,SC,1,complete_office_synopsis_with_explicit_UR,full_source_visual_review_single_assistant,block_unstated,data/wb/derived/nadia_2013_handbook/full_office_visual_audit.json,9fa81bb5b3696b27f851ec8c0a9871dbcbd2ced62fde42043a8b56bbd2b97d30,single_assistant_nonblinded_source_visual_audit
ee4808e7d2947f47ca1b,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,0,9,"[84.88685714285714, 243.26, 466.33564551724135, 258.8599949999999]","PDF points, top-left origin","[""8"", ""Jamsherpur"", ""STW"", null, null, """", null, null, """", null, null, """", null, null, """", null, null]",West Bengal,Nadia,2013,gp_head,pradhan,8,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43:8,Jamsherpur,Jamsherpur,,Jamsherpur,STW,STW,ST,1,complete_office_synopsis_with_explicit_UR,full_source_visual_review_single_assistant,block_unstated,data/wb/derived/nadia_2013_handbook/full_office_visual_audit.json,9fa81bb5b3696b27f851ec8c0a9871dbcbd2ced62fde42043a8b56bbd2b97d30,single_assistant_nonblinded_source_visual_audit
e47d35c4546d3254c77e,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,0,10,"[84.88685714285714, 258.8599949999999, 466.33564551724135, 274.33999499999993]","PDF points, top-left origin","[""9"", ""Harekrishnapur"", """", null, null, """", null, null, """", null, null, """", null, null, ""UR"", null, null]",West Bengal,Nadia,2013,gp_head,pradhan,9,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43:9,Harekrishnapur,Harekrishnapur,,Harekrishnapur,UR,UR,UR,0,complete_office_synopsis_with_explicit_UR,full_source_visual_review_single_assistant,block_unstated,data/wb/derived/nadia_2013_handbook/full_office_visual_audit.json,9fa81bb5b3696b27f851ec8c0a9871dbcbd2ced62fde42043a8b56bbd2b97d30,single_assistant_nonblinded_source_visual_audit
9877b742cd99c40f3f14,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,0,11,"[84.88685714285714, 274.33999499999993, 466.33564551724135, 289.8499949999999]","PDF points, top-left origin","[""10"", ""Madhugari"", """", null, null, """", null, null, """", null, null, ""Women"", null, null, """", null, null]",West Bengal,Nadia,2013,gp_head,pradhan,10,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43:10,Madhugari,Madhugari,,Madhugari,Women,W,UR,1,complete_office_synopsis_with_explicit_UR,full_source_visual_review_single_assistant,block_unstated,data/wb/derived/nadia_2013_handbook/full_office_visual_audit.json,9fa81bb5b3696b27f851ec8c0a9871dbcbd2ced62fde42043a8b56bbd2b97d30,single_assistant_nonblinded_source_visual_audit
