audit_id,source_group,district,reservation_years,outcome_sex_years,stage,tier,acquisition_status,row_unit,physical_rows,n_gp_verified,n_gp_count_scope,gp_id_type,sex_fields,sex_nonmissing_counts,winner_vs_incumbent,reservation_measure,current_persistence_eligibility,source_paths,source_urls,source_sha256,evidence_paths,evidence_sha256,limitation
official_alipurduar_2018_final_gp_deputy,official_office_reservations,Alipurduar,2018,,final,gp_deputy,acquired_and_parsed,source_gp_office_row,16,16,named_positive_office_rows_only,printed names; block where printed; no verified cross-year ID,,,neither; reservation assignment only,positive reservation axes only,no recorded head-sex outcome,"[""data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf""]","[""http://alipurduar.gov.in:80/PanchayatGeneralElection2018/OfficeBearer.pdf"", ""https://web.archive.org/web/20180412195129id_/http://alipurduar.gov.in/PanchayatGeneralElection2018/OfficeBearer.pdf""]","{""data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf"": ""0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734""}","[""data/wb/derived/alipurduar_offices/office_reservations.csv""]","{""data/wb/derived/alipurduar_offices/office_reservations.csv"": ""294116c9f046f0acdeed9d6766553eb3d33375288412154add6c67a6be0f1898""}","Named positive-office union only, not all66GPs. Opposite blank axis unknown. No observed head sex."
official_alipurduar_2018_final_gp_head,official_office_reservations,Alipurduar,2018,,final,gp_head,acquired_and_parsed,source_gp_office_row,50,50,named_positive_office_rows_only,printed names; block where printed; no verified cross-year ID,,,neither; reservation assignment only,positive reservation axes only,no recorded head-sex outcome,"[""data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf""]","[""http://alipurduar.gov.in:80/PanchayatGeneralElection2018/OfficeBearer.pdf"", ""https://web.archive.org/web/20180412195129id_/http://alipurduar.gov.in/PanchayatGeneralElection2018/OfficeBearer.pdf""]","{""data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf"": ""0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734""}","[""data/wb/derived/alipurduar_offices/office_reservations.csv""]","{""data/wb/derived/alipurduar_offices/office_reservations.csv"": ""294116c9f046f0acdeed9d6766553eb3d33375288412154add6c67a6be0f1898""}","Named positive-office union only, not all66GPs. Opposite blank axis unknown. No observed head sex."
official_alipurduar_2023_draft_gp_deputy,official_office_reservations,Alipurduar,2023,,draft,gp_deputy,acquired_and_parsed,source_cell,32,,not_asserted_from_source_cell_counts,printed names; block where printed; no verified cross-year ID,,,neither; reservation assignment only,positive reservation axes only,no recorded head-sex outcome,"[""data/wb/2023/alipurduar/form_1a_upa_pradhan_view_pdf_737_kb_2023030292.pdf""]","[""https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030292.pdf""]","{""data/wb/2023/alipurduar/form_1a_upa_pradhan_view_pdf_737_kb_2023030292.pdf"": ""c94f363f20effead613bd74ad5c6885fd2b4bd2904641a1740653c2a5880f706""}","[""data/wb/derived/office_scans/row_review.csv""]","{""data/wb/derived/office_scans/row_review.csv"": ""221cd4d4aaccda0707a3b8ef6e4bae4c9a630c72a41ff5780455b7a51ff6e26c""}",Source cells include blank or overlapping axes; physical rows are not GP counts. Nonlisting/opposite blank axis remains unknown. No observed head sex.
official_alipurduar_2023_draft_gp_head,official_office_reservations,Alipurduar,2023,,draft,gp_head,acquired_and_parsed,source_cell,96,,not_asserted_from_source_cell_counts,printed names; block where printed; no verified cross-year ID,,,neither; reservation assignment only,positive reservation axes only,no recorded head-sex outcome,"[""data/wb/2023/alipurduar/form_1a_pradhan_view_pdf_1_mb_2023030211.pdf""]","[""https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030211.pdf""]","{""data/wb/2023/alipurduar/form_1a_pradhan_view_pdf_1_mb_2023030211.pdf"": ""103f216a2639fd1d114f26e87ed846966ca61d8756623d85fdb86088ea32a5a1""}","[""data/wb/derived/office_scans/row_review.csv""]","{""data/wb/derived/office_scans/row_review.csv"": ""221cd4d4aaccda0707a3b8ef6e4bae4c9a630c72a41ff5780455b7a51ff6e26c""}",Source cells include blank or overlapping axes; physical rows are not GP counts. Nonlisting/opposite blank axis remains unknown. No observed head sex.
official_alipurduar_2023_final_gp_deputy,official_office_reservations,Alipurduar,2023,,final,gp_deputy,acquired_and_parsed,source_cell,32,,not_asserted_from_source_cell_counts,printed names; block where printed; no verified cross-year ID,,,neither; reservation assignment only,positive reservation axes only,no recorded head-sex outcome,"[""data/wb/2023/alipurduar/form1b_upa_pradhan_view_pdf_590_kb_2023030278.pdf""]","[""https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030278.pdf""]","{""data/wb/2023/alipurduar/form1b_upa_pradhan_view_pdf_590_kb_2023030278.pdf"": ""bbd210aed7e3b06d6339440eb52b3e638dd76c020bb640c458addef5523f7ae5""}","[""data/wb/derived/office_scans/row_review.csv""]","{""data/wb/derived/office_scans/row_review.csv"": ""221cd4d4aaccda0707a3b8ef6e4bae4c9a630c72a41ff5780455b7a51ff6e26c""}",Source cells include blank or overlapping axes; physical rows are not GP counts. Nonlisting/opposite blank axis remains unknown. No observed head sex.
official_alipurduar_2023_final_gp_head,official_office_reservations,Alipurduar,2023,,final,gp_head,acquired_and_parsed,source_cell,96,,not_asserted_from_source_cell_counts,printed names; block where printed; no verified cross-year ID,,,neither; reservation assignment only,positive reservation axes only,no recorded head-sex outcome,"[""data/wb/2023/alipurduar/form1b_pradhan_view_pdf_914_kb_2023030228.pdf""]","[""https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030228.pdf""]","{""data/wb/2023/alipurduar/form1b_pradhan_view_pdf_914_kb_2023030228.pdf"": ""4c6f94270d610059c90b650646b82d200067bfdddd9993c3087c2ef5a9e93899""}","[""data/wb/derived/office_scans/row_review.csv""]","{""data/wb/derived/office_scans/row_review.csv"": ""221cd4d4aaccda0707a3b8ef6e4bae4c9a630c72a41ff5780455b7a51ff6e26c""}",Source cells include blank or overlapping axes; physical rows are not GP counts. Nonlisting/opposite blank axis remains unknown. No observed head sex.
official_birbhum_2023_final_gp_deputy,official_office_reservations,Birbhum,2023,,final,gp_deputy,acquired_and_parsed,source_cell,84,,not_asserted_from_source_cell_counts,printed names; block where printed; no verified cross-year ID,,,neither; reservation assignment only,positive reservation axes only,no recorded head-sex outcome,"[""data/wb/2023/gp_sources/birbhum_form_1b_upa_pradhan_723_kb.pdf""]","[""https://cdn.s3waas.gov.in/s3fc3cf452d3da8402bebb765225ce8c0e/uploads/2022/12/2022123021.pdf""]","{""data/wb/2023/gp_sources/birbhum_form_1b_upa_pradhan_723_kb.pdf"": ""1c238d8a73dbbc4083f4bcea8dbc3ccca1e4ded7100f7e9d88cbaf0d5eee8fef""}","[""data/wb/derived/office_scans/row_review.csv""]","{""data/wb/derived/office_scans/row_review.csv"": ""221cd4d4aaccda0707a3b8ef6e4bae4c9a630c72a41ff5780455b7a51ff6e26c""}",Source cells include blank or overlapping axes; physical rows are not GP counts. Nonlisting/opposite blank axis remains unknown. No observed head sex.
official_birbhum_2023_final_gp_head,official_office_reservations,Birbhum,2023,,final,gp_head,acquired_and_parsed,source_cell,244,,not_asserted_from_source_cell_counts,printed names; block where printed; no verified cross-year ID,,,neither; reservation assignment only,positive reservation axes only,no recorded head-sex outcome,"[""data/wb/2023/gp_sources/birbhum_form_1b_prodhan_2_mb.pdf""]","[""https://cdn.s3waas.gov.in/s3fc3cf452d3da8402bebb765225ce8c0e/uploads/2022/12/2022123081.pdf""]","{""data/wb/2023/gp_sources/birbhum_form_1b_prodhan_2_mb.pdf"": ""3d2bcfd846d98b2e0b02fa2d644686bcecbe023e9014577d3349a9c877497250""}","[""data/wb/derived/office_scans/row_review.csv""]","{""data/wb/derived/office_scans/row_review.csv"": ""221cd4d4aaccda0707a3b8ef6e4bae4c9a630c72a41ff5780455b7a51ff6e26c""}",Source cells include blank or overlapping axes; physical rows are not GP counts. Nonlisting/opposite blank axis remains unknown. No observed head sex.
official_cooch_behar_2023_final_gp_deputy,official_office_reservations,Cooch Behar,2023,,final,gp_deputy,acquired_and_parsed,source_cell,64,,not_asserted_from_source_cell_counts,printed names; block where printed; no verified cross-year ID,,,neither; reservation assignment only,positive reservation axes only,no recorded head-sex outcome,"[""data/wb/2023/gp_sources/cooch_behar_final_office_reservations.pdf""]","[""https://cdn.s3waas.gov.in/s3fbd7939d674997cdb4692d34de8633c4/uploads/2023/01/2023010217.pdf""]","{""data/wb/2023/gp_sources/cooch_behar_final_office_reservations.pdf"": ""322ba5a0cfee1abe610e3d00a16966e20ae1b72e6b113746705c81d34a2baea1""}","[""data/wb/derived/office_scans/row_review.csv""]","{""data/wb/derived/office_scans/row_review.csv"": ""221cd4d4aaccda0707a3b8ef6e4bae4c9a630c72a41ff5780455b7a51ff6e26c""}",Source cells include blank or overlapping axes; physical rows are not GP counts. Nonlisting/opposite blank axis remains unknown. No observed head sex.
official_cooch_behar_2023_final_gp_head,official_office_reservations,Cooch Behar,2023,,final,gp_head,acquired_and_parsed,source_cell,192,,not_asserted_from_source_cell_counts,printed names; block where printed; no verified cross-year ID,,,neither; reservation assignment only,positive reservation axes only,no recorded head-sex outcome,"[""data/wb/2023/gp_sources/cooch_behar_final_office_reservations.pdf""]","[""https://cdn.s3waas.gov.in/s3fbd7939d674997cdb4692d34de8633c4/uploads/2023/01/2023010217.pdf""]","{""data/wb/2023/gp_sources/cooch_behar_final_office_reservations.pdf"": ""322ba5a0cfee1abe610e3d00a16966e20ae1b72e6b113746705c81d34a2baea1""}","[""data/wb/derived/office_scans/row_review.csv""]","{""data/wb/derived/office_scans/row_review.csv"": ""221cd4d4aaccda0707a3b8ef6e4bae4c9a630c72a41ff5780455b7a51ff6e26c""}",Source cells include blank or overlapping axes; physical rows are not GP counts. Nonlisting/opposite blank axis remains unknown. No observed head sex.
