district,year,head_source_status,ward_source_status,deputy_source_status,head_gp_source_universe,source_reference,next_action,notes
Birbhum,1998,research_parsed_with_conflicts,not_acquired,research_unparsed,166,data/wb/chattopadhyaya_duflo.zip;data/wb/derived/birbhum_reservations,Resolve source conflicts; recover official named-GP orders,161 complete; one SC/ST contradiction; exact-name audit flags three GPs; baseline strict count 158. Beaman prior-period observations retained separately; not added to baseline count.
Birbhum,2003,research_parsed_with_year_exceptions,not_acquired,not_acquired,165,data/wb/vintage_search/raw/898f2f74836e83ae.dta,Resolve two current-year exceptions; recover official orders,"165 named GPs; 163 explicit 2003 codes. Research observations, not official verification."
Nadia,2008,not_acquired,parsed_ward_sources_review_status_varies,not_acquired,,data/wb/gp_source_search/historical_expansion;data/wb/derived/nadia_2008,Find Pradhan schedules; review flagged ward rows,"141 reservation PDFs; parsed GP-member rows and source-control counts are in derived/nadia_2008. These are ward reservations, not Pradhan assignments."
Nadia,2013,final_acquired,not_acquired,final_acquired,187,data/wb/derived/nadia_2013_handbook;data/wb/derived/office_scans,Transcribe Pradhan and deputy schedules separately,Final office order dated15 March2013 plus187-GP handbook roster. One Pradhan category is blank; use source serials for repeated names.
Malda,2013,not_acquired,acquired_unparsed,not_acquired,,data/wb/gp_source_search/archived_district_files;data/wb/gp_source_search/followed_links/malda_696e786383.pdf,Find Ratua-II and Pradhan office orders,14 of 15 block reservation schedules; mixed GP/PS; no verified Pradhan roster.
Purulia,2018,final_acquired,not_acquired,final_acquired,170,data/wb/gp_source_search/archived_district_files,Transcribe all 20 block Pradhan and deputy schedules,"40 PDFs across two office series. 170 is printed universe, not parsed assignments."
South 24 Parganas,2018,final_acquired,not_acquired,final_acquired,310,data/wb/gp_source_search/historical_expansion,Transcribe final Pradhan and deputy schedules,"Final 6 March 2018; Pradhan 12 pages, deputy 6 pages; 310 is source universe."
Alipurduar,2018,final_acquired,final_acquired_unparsed,final_acquired,,data/wb/gp_source_search/historical_expansion,Transcribe Pradhan order PDF pages 4-5,12-page office/gazette document plus 104-page GP/PS ward reservation file.
Cooch Behar,2018,not_acquired,draft_acquired_unparsed,not_acquired,,data/wb/gp_source_search/archived_district_files,Find final ward and Pradhan schedules,"24 draft block Form A/B PDFs, 207 pages. Result-link block totals do not fill gap."
Birbhum,2023,final_acquired,final_acquired_unparsed,final_acquired,167,data/wb/2023/gp_sources/manifest.csv,Transcribe Pradhan 6-page and deputy 2-page orders,19 block ward PDFs; 167-GP source universe.
Jalpaiguri,2023,final_acquired,draft_acquired_unparsed,final_acquired,80,data/wb/2023/gp_sources/manifest.csv,Transcribe offices; locate final ward schedules,9 block draft ward schedules; final offices 5 pages; source universe 80.
Cooch Behar,2023,final_acquired,final_acquired_unparsed,final_acquired,128,data/wb/2023/gp_sources/manifest.csv,Transcribe offices and classify mixed-tier archive members,9-page final office order; 128-GP source universe; 126 archive PDFs are not 126 GPs.
Alipurduar,2023,final_acquired,mixed_draft_final_acquired_unparsed,final_acquired,,data/wb/2023/gp_sources/manifest.csv,Transcribe office schedules; reconcile ward versions,64 named GP ward files plus PS/office records; 76 final and 6 draft PDFs overall. Do not use ward count as office completeness.
