district,year,head_source_status,ward_source_status,deputy_source_status,head_gp_source_universe,head_gp_parsed_source_complete,head_gp_parsed_strict,head_gp_officially_verified,head_gp_judgment_evidence,source_reference,next_action,notes
24 Parganas,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Bankura,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Bardhaman,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Birbhum,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Cooch Behar,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Hooghly,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Howrah,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Jalpaiguri,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Malda,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Medinipur,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Murshidabad,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Nadia,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Purulia,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
West Dinajpur,1978,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
24 Parganas,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Bankura,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Bardhaman,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Birbhum,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
