area,year,cycle_status,head_data_status,ward_data_status,evidence,notes
Darjeeling hills including then Kalimpong,2000,confirmed,not_acquired,not_acquired,https://cdnbbsr.s3waas.gov.in/s316026d60ff9b54410b3435b403afd226/uploads/2023/06/2023060268.pdf,2023 PRD status report identifies last GP election as 2000
Darjeeling hills including Kalimpong,2003,no_GP_election_in_ordinary_cycle,not_applicable,not_applicable,https://cdnbbsr.s3waas.gov.in/s316026d60ff9b54410b3435b403afd226/uploads/2023/06/2023060268.pdf,Do not count as a missing statewide-cycle roster
Darjeeling hills including Kalimpong,2008,no_GP_election_in_ordinary_cycle,not_applicable,not_applicable,https://cdnbbsr.s3waas.gov.in/s316026d60ff9b54410b3435b403afd226/uploads/2023/06/2023060268.pdf,Do not count as a missing statewide-cycle roster
Darjeeling hills including Kalimpong,2013,no_GP_election_in_ordinary_cycle,not_applicable,not_applicable,https://cdnbbsr.s3waas.gov.in/s316026d60ff9b54410b3435b403afd226/uploads/2023/06/2023060268.pdf,Do not count as a missing statewide-cycle roster
Darjeeling hills including Kalimpong,2018,no_GP_election_in_ordinary_cycle,not_applicable,not_applicable,https://cdnbbsr.s3waas.gov.in/s316026d60ff9b54410b3435b403afd226/uploads/2023/06/2023060268.pdf,Do not count as a missing statewide-cycle roster
Darjeeling hills,1978,calendar_requires_verification,not_acquired,not_acquired,,Backlog; not asserted to be an actual election year
Darjeeling hills,1983,calendar_requires_verification,not_acquired,not_acquired,,Backlog; not asserted to be an actual election year
Darjeeling hills,1988,calendar_requires_verification,not_acquired,not_acquired,,Backlog; not asserted to be an actual election year
Darjeeling hills,1993,calendar_requires_verification,not_acquired,not_acquired,,Backlog; not asserted to be an actual election year
Darjeeling hills,1998,calendar_requires_verification,not_acquired,not_acquired,,Backlog; not asserted to be an actual election year
Siliguri Mahakuma Parishad,1989,calendar_requires_verification,not_acquired,not_acquired,,Separate GP cycle; historical candidate years require official calendar confirmation
Siliguri Mahakuma Parishad,1994,calendar_requires_verification,not_acquired,not_acquired,,Separate GP cycle; historical candidate years require official calendar confirmation
Siliguri Mahakuma Parishad,1999,calendar_requires_verification,not_acquired,not_acquired,,Separate GP cycle; historical candidate years require official calendar confirmation
Siliguri Mahakuma Parishad,2004,calendar_requires_verification,not_acquired,not_acquired,,Separate GP cycle; historical candidate years require official calendar confirmation
Siliguri Mahakuma Parishad,2009,calendar_requires_verification,not_acquired,not_acquired,,Separate GP cycle; historical candidate years require official calendar confirmation
Siliguri Mahakuma Parishad,2015,confirmed,not_acquired,not_acquired,https://archive.wbsec.org/WestBengalElectionDetailedResults-2015.htm,Reservation documents not yet acquired
Siliguri Mahakuma Parishad,2022,confirmed,not_acquired,not_acquired,https://cdnbbsr.s3waas.gov.in/s316026d60ff9b54410b3435b403afd226/uploads/2023/06/2023060268.pdf,Reservation documents not yet acquired
