source,source_gp_id,district,block_raw,gp_raw,office,reported_period,source_file,source_sha256,raw_women,reserved_women,raw_sc,reserved_sc,raw_st,reserved_st,election_year,year_evidence,flags,eligible_within_source_strict,name_key,raw_AA0_2b,raw_year,raw_year_2,raw_year_888,raw_prev_year,raw_prev_year_888_1,raw_prev_year_888_2,raw_comments,cross_source_conflict,eligible_after_exact_name_audit
cd,4,Birbhum,BOLPUR-SRINIKETAN,RAIPUR-SUPUR,Pradhan,current,data/wb/chattopadhyaya_duflo.zip,126dbb6f9dfbd8bf05ef68d7b1a98c9c8c9f54f85c68b0ef0e73acf0089f3693,,,,,,,1998,survey_2000_paper_dates_1998_election,missing_reservation,False,BOLPURSRINIKETAN|RAIPURSUPUR,,,,,,,,,False,False
cd,5,Birbhum,BOLPUR-SRINIKETAN,RUPPUR,Pradhan,current,data/wb/chattopadhyaya_duflo.zip,126dbb6f9dfbd8bf05ef68d7b1a98c9c8c9f54f85c68b0ef0e73acf0089f3693,,,,,,,1998,survey_2000_paper_dates_1998_election,missing_reservation,False,BOLPURSRINIKETAN|RUPPUR,,,,,,,,,False,False
cd,14,Birbhum,ILLAMBAZAR,ILLAMBAZAR,Pradhan,current,data/wb/chattopadhyaya_duflo.zip,126dbb6f9dfbd8bf05ef68d7b1a98c9c8c9f54f85c68b0ef0e73acf0089f3693,,,,,,,1998,survey_2000_paper_dates_1998_election,missing_reservation,False,ILLAMBAZAR|ILLAMBAZAR,,,,,,,,,False,False
cd,15,Birbhum,ILLAMBAZAR,JOYDEB-KENDULI,Pradhan,current,data/wb/chattopadhyaya_duflo.zip,126dbb6f9dfbd8bf05ef68d7b1a98c9c8c9f54f85c68b0ef0e73acf0089f3693,,,,,,,1998,survey_2000_paper_dates_1998_election,missing_reservation,False,ILLAMBAZAR|JOYDEBKENDULI,,,,,,,,,False,False
cd,87,Birbhum,SAINTHIA,PANRUI,Pradhan,current,data/wb/chattopadhyaya_duflo.zip,126dbb6f9dfbd8bf05ef68d7b1a98c9c8c9f54f85c68b0ef0e73acf0089f3693,1,True,1,True,2,False,1998,survey_2000_paper_dates_1998_election,,True,SAINTHIA|PANRUI,,,,,,,,,True,False
cd,142,Birbhum,,NALHATI-I,Pradhan,current,data/wb/chattopadhyaya_duflo.zip,126dbb6f9dfbd8bf05ef68d7b1a98c9c8c9f54f85c68b0ef0e73acf0089f3693,,,,,,,1998,survey_2000_paper_dates_1998_election,missing_reservation;missing_place_name,False,|NALHATII,,,,,,,,,False,False
cd,150,Birbhum,RAMPURHAT - I,AYAS,Pradhan,current,data/wb/chattopadhyaya_duflo.zip,126dbb6f9dfbd8bf05ef68d7b1a98c9c8c9f54f85c68b0ef0e73acf0089f3693,2,False,1,True,1,True,1998,survey_2000_paper_dates_1998_election,source_reports_both_sc_and_st,False,RAMPURHATI|AYAS,,,,,,,,,True,False
cd,156,Birbhum,RAMPURHAT - I,KUSUMBA,Pradhan,current,data/wb/chattopadhyaya_duflo.zip,126dbb6f9dfbd8bf05ef68d7b1a98c9c8c9f54f85c68b0ef0e73acf0089f3693,2,False,2,False,1,True,1998,survey_2000_paper_dates_1998_election,,True,RAMPURHATI|KUSUMBA,,,,,,,,,True,False
beaman,118,Birbhum,RAMPURHAT - I,Ayas,Pradhan,current,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,1,True,2,False,2,False,2003,study_term_context,current_election_year_exception,False,RAMPURHATI|AYAS,103,998,,,1,,,,False,False
beaman,149,Birbhum,MURARAI - II,Rudranagar,Pradhan,current,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,2,False,1,True,2,False,2003,study_term_context,current_election_year_exception,False,MURARAIII|RUDRANAGAR,150,2,2004,2006,888,2003,2003,"The Pradhan selected after 2003 Panchayat elections, Mr. Milan Bhuimali, got severely ill soon after taking over the charge of Pradhan and had to be admitted in a hospital in Kolkata. During the period of illness of Mr. Milan Bhuimali, the Upa-",False,False
beaman,142,Birbhum,MURARAI - II,Amdole,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,2,False,1,True,2,False,1998,within_1998_term_inferred,within_1998_term_inferred,False,MURARAIII|AMDOLE,143,1,,,888,1999,2003,"After loosing in a no-confidence motion the Pradhan elected after the 1998 Panchayat elections, Mr. Lalbehari Rajbansi, stepped out from the post of Pradhan and Mr. Prasanta Rajmalla took over as the Pradhan.",False,False
