column,dtype,definition,provenance,unresolved
source,str,cd=Chattopadhyay-Duflo; beaman=public in-rolls/beaman DTA mirror,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
source_gp_id,str,"Source gpnum (cd) or res_id (beaman), stored as string; not LGD",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
district,str,Birbhum; source study geography,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
block_raw,str,"Verbatim source block name, including whitespace or blanks",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
gp_raw,str,"Verbatim source GP name, including whitespace or blanks",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
office,str,Pradhan; reservation of the GP head office,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
reported_period,str,"current or previous, as asked in the source; not an election year",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
source_file,str,"Repository-relative immutable original (ZIP for cd, DTA for beaman)",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
source_sha256,str,SHA-256 of that original; cd fields are parta + partb members,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
raw_women,Int64,"Original reservation code: 1=Yes, 2=No; missing preserved; category women",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
reserved_women,boolean,"Nullable boolean: raw 1->true, raw 2->false, missing->null; unknown numeric code raises error",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
raw_sc,Int64,"Original reservation code: 1=Yes, 2=No; missing preserved; category sc",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
reserved_sc,boolean,"Nullable boolean: raw 1->true, raw 2->false, missing->null; unknown numeric code raises error",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
raw_st,Int64,"Original reservation code: 1=Yes, 2=No; missing preserved; category st",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
reserved_st,boolean,"Nullable boolean: raw 1->true, raw 2->false, missing->null; unknown numeric code raises error",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
election_year,Int64,1998 for dated older study; 2003 current Beaman term; previous 1998 only for explicit or bounded intervals; null for post-2003 previous incumbent,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
year_evidence,str,"Explicit label, study context or stated inference; see README",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
flags,str,"Semicolon-separated within-source missing, contradictory or ambiguous-year checks",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
eligible_within_source_strict,boolean,"No within-source flags; research extraction check, not official verification",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
name_key,str,Uppercase alphanumeric block + pipe + uppercase alphanumeric GP; no fuzzy matching,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
raw_AA0_2b,Int64,Beaman PRA identifier retained separately; never substituted for res_id,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
raw_year,Int64,"Beaman current year code: 1=2003, 2=other year, 888=other, 998=not applicable",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
raw_year_2,Int64,"Beaman specify-other-year response, unchanged",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
raw_year_888,Int64,"Beaman additional specify-other response, unchanged; can conflict with raw_year_2",src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
raw_prev_year,Int64,Beaman previous service code: 1=1998 to 2003; 888=other,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
raw_prev_year_888_1,Int64,Beaman other-interval start year,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
raw_prev_year_888_2,Int64,Beaman other-interval end year,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
raw_comments,str,Verbatim source comments; blank/null when not supplied,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
cross_source_conflict,boolean,Same normalized block/GP and 1998-linked readings disagree on an observed reservation field; nulls never create disagreement,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
eligible_after_exact_name_audit,boolean,Within-source strict and no detected cross-source conflict; unresolved name mismatches still limit validation,src/local_reservations/states/wb/parse_birbhum.py,Official order verification and cross-source name/conflict adjudication outstanding
